region,year,month,milk_production(tons),meat_production(tons),milk_lag_1(tons),milk_lag_3(tons),milk_lag_6(tons),meat_lag_1(tons),meat_lag_3(tons),meat_lag_6,milk_mom_change(%),meat_mom_change,food_shock_risk,predicted_risk,risk_probability
Атырауская,2024,10,"26364,9","37782,5","24864,5","18328,3",6715,"33065,66","24439,6","12857,11","0,06034305938","0,1426507138",0,0,"0,04765428317"
Западно-Казахстанская,2024,10,188980,"78388,8","177805,9","138026,7","37232,1","71037,5","54040,21","26783,68","0,06284437131","0,1034847792",0,0,"0,00000000843492831"
Жамбылская,2024,10,"193569,9","93561,75","178112,4","128864,4","56102,7","83003,8","61532,09","32388,15","0,08678508627","0,1271983933",0,0,"0,000001639769666"
Жетісу,2024,10,186295,"76917,07","167651,4","121600,1","56072,4","66002,78","47952,71","24192,01","0,111204559","0,1653610651",0,0,"0,002415910435"
Карагандинская,2024,10,"178008,7","72865,44","164318,7","122659,6","44033,7","66736,2","46710,88","21240,02","0,08331370684","0,09184280795",0,0,"0,0000001950312755"
Костанайская,2024,10,"188026,7","58349,18","176605,2","150423,8","60944,1","54315,35","43791,79","23159,21","0,06467250115","0,0742668509",0,0,"0,000000001868445787"
Кызылординская,2024,10,"38085,4","29050,61","33885,5","25162,5","12701,7","25543,63","19469,66","10981,03","0,1239438698","0,1372937206",0,0,"0,109478133"
Павлодарская,2024,10,"203504,6","85745,57","184803,5","139489,7","63892,8","75240,27","57117,13","26796,91","0,101194512","0,1396233692",0,0,"0,00002089275031"
Северо-Казахстанская,2024,10,"326758,8","61041,23","300508,9","219476,7",89817,"55270,62","37013,45","20264,71","0,08735148942","0,104406464",0,0,"0,000000002308512475"
Туркестанская,2024,10,"387707,6","173721,49","354771,1","280179,4","134762,5","153524,86","112864,84","64448,16","0,09283873461","0,1315528312",0,0,0
Ұлытау,2024,10,53588,"20520,56",47171,"36785,7","13169,6","18727,86","13076,81","7261,35","0,1360369719","0,09572369721",0,0,"0,05083205143"
Восточно-Казахстанская,2024,10,"194190,9","123660,39","175124,5","128317,1","55251,7","111055,34","84017,8","42227,25","0,1088734015","0,1135024214",0,0,"0,000001012110336"
г. Астана,2024,10,"170,9","57,03","158,5","116,1","53,1","51,63","40,29","26,8","0,07823343849","0,1045903544",0,0,"0,4106943525"
г. Алматы,2024,10,"305,1","43,3","276,4",226,"141,2","37,6","22,5",14,"0,1038350217","0,1515957447",0,0,"0,4196027861"
г. Шымкент,2024,10,"59008,6","6594,9","53097,9","41124,1","18197,8","6016,51","5125,51","3249,9","0,1113170201","0,09613380515",0,0,"0,05229853185"
Абай,2025,10,"275215,8","112464,63","248414,4","180035,5",69185,"100973,3","71920,9","30948,43","0,1078898808","0,1138056298",0,0,"0,0000001420560105"
Акмолинская,2025,10,"204878,9","168491,68","186168,1","140880,3","62103,1",152849,122040,"71635,51","0,1005048663","0,1023407415",0,0,"0,000000001234795247"
Актюбинская,2025,10,"157354,5","85663,41","142392,2","103322,6","38583,2","77946,57","61721,49","35070,48","0,1050780871","0,09900166229",0,0,"0,000004814492863"
Алматинская,2025,10,"265519,9","218519,26","232105,6","162844,8","74932,3","192803,4","143002,49","78463,33","0,1439616278","0,1333786645",0,0,"0,0000439103585"
Атырауская,2025,10,"27597,7","40072,49","25773,7","19329,4","6877,1","35412,53","26533,04","13994,55","0,07076981574","0,131590711",0,0,"0,03071258495"
Западно-Казахстанская,2025,10,"194427,9","80768,6","182828,6","142032,2",38230,"73155,18","55892,74","27305,2","0,06344357502","0,1040721928",0,0,"0,000000005619903133"
Жамбылская,2025,10,"196747,1","96056,36","181001,2",130984,"56950,9","86017,96","64866,93","33007,15","0,0869933459","0,1167012098",0,0,"0,0000004041834983"
Жетісу,2025,10,"193699,6","79607,1","174418,9","125893,1","57403,7","68171,5","49261,29","24899,66","0,1105424928","0,1677475191",0,0,"0,002283588267"
Карагандинская,2025,10,182358,"76240,99","167797,1","124664,5","44490,5","69886,04","49186,79","22233,12","0,08677682749","0,09093303899",0,0,"0,0000001756899782"
Костанайская,2025,10,"205690,2","53388,02","193528,6","165794,1","68141,5","49686,89","40247,14","23629,62","0,06284135781","0,07448906543",0,0,"0,0000000006233982969"
Кызылординская,2025,10,"39153,9","30221,67","34888,7","26157,7","12833,1","26548,68","20191,92","11329,54","0,1222516173","0,1383492513",0,0,"0,1012180832"
Павлодарская,2025,10,"220576,7","83368,87","201258,8","153420,1","71717,1","72727,94","55235,97","26802,78","0,09598536809","0,1463114451",0,0,"0,000008544162214"
Северо-Казахстанская,2025,10,"334926,9","68494,47","307118,3","224516,2","93919,2","62155,33","42371,83","22604,11","0,09054686744","0,101988679",0,0,"0,000000001584059702"
Туркестанская,2025,10,"427854,9","181641,49","405958,4","327360,2","162858,7","158590,09","107009,08","62501,4","0,05393779264","0,1453520835",0,0,0
Ұлытау,2025,10,"53657,3","20564,43","47277,5","36932,6","13317,1","18766,73","13118,13","7279,78","0,1349436836","0,09579186145",0,0,"0,0486661138"
Восточно-Казахстанская,2025,10,213092,"124863,64","193242,8","147417,1",64835,"111320,8","82941,15","41762,78","0,1027163755","0,1216559709",0,0,"0,000000437495073"
г. Астана,2025,10,"137,1","56,13","124,5","81,8","31,5",50,"38,1","24,9","0,1012048193","0,1226",0,0,"0,4172745554"
г. Алматы,2025,10,"270,8","139,9","243,3","188,3","103,5","137,6","113,3","6,8","0,1130291821","0,01671511628",0,0,"0,3992712114"
г. Шымкент,2025,10,"59881,8","5914,81","54310,8","43523,4","20684,9","5303,46","4384,34","2652,16","0,1025762832","0,1152738024",0,0,"0,03926983306"
Абай,2024,11,"279140,1","119924,99","259178,4",203447,"97129,9","106920,4","80663,85","39222,31","0,07701914974","0,121628707",0,0,"0,0000000001871122032"
Акмолинская,2024,11,"218549,9","176955,9",202600,"161591,3","84373,7","161097,65","130282,85","80388,85","0,0787260612","0,09843874197",0,0,0
Актюбинская,2024,11,"165634,7","95266,54","153455,2","120743,7","52699,9","84955,87","68154,21","42967,13","0,07936844108","0,1213650099",0,0,"0,0000005488419118"
Алматинская,2024,11,"273900,9","237945,94","251870,1","189191,1","93974,8","214026,11","160373,25","93409,18","0,08746889766","0,1117612706",0,0,0
Атырауская,2024,11,"28627,6","43569,98","26364,9",21592,11784,"37782,5","27821,89","16529,45","0,08582243817","0,1531788526",0,0,"0,08129874547"
Западно-Казахстанская,2024,11,"198395,9","87392,29",188980,"158226,5","71691,2","78388,8","61516,22","34873,32","0,04982484919","0,1148568418",0,0,"0,0000000004493537173"
Жамбылская,2024,11,"208022,3","106639,93","193569,9","153771,4","77713,6","93561,75","71665,81","41478,5","0,0746624346","0,1397812675",0,0,"0,0000001217235138"
Жетісу,2024,11,"201789,8","88014,95",186295,"142392,6","74608,5","76917,07","53839,05","28211,23","0,08317346145","0,1442837071",0,0,"0,000002591686323"
Карагандинская,2024,11,"190123,7","81747,89","178008,7",140932,"68437,8","72865,44","53678,58","27592,82","0,0680584713","0,1219020979",0,0,"0,0000000602258761"
Костанайская,2024,11,"196263,1","62423,57","188026,7","163830,6","83120,6","58349,18","48519,24","29841,32","0,04380441714","0,06982771652",0,0,0
